title,description,image,type,rating,year
Daa! Daa! Daa!,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around.   (Source: ANN)",https://cdn.myanimelist.net/images/anime/3/21166l.jpg,Anime,7.63,"Mar 28, 2000 to Feb 26, 2002"
Kimi ni Todoke: From Me To You 2,"After a momentous New Year's vacation and with Valentine's Day approaching, Sawako Kuronuma is beginning to get along with her classmates. However, now that Sawako has realized her romantic feelings for the popular Shouta Kazehaya, she grows hesitant toward giving him obligatory chocolates and decides to not give him any. In turn, Kazehaya, who likes Sawako, feels a distance between them.  As February ends and April arrives, the second year of high school begins for Sawako. Luckily, she ends up in the same class as her friends Ayane Yano and Chizuru Yoshida, along with Kazehaya and his friend Ryuu Sanada, in addition to the newcomer named Kento Miura. When Kento develops an interest in Sawako, Sawako and Kazehaya's feelings for each other are put to the test.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1311/121574l.jpg,Anime,7.98,"Jan 12, 2011 to Mar 30, 2011"
Sekai Ichi Hatsukoi - World&#039;s Greatest First Love,"After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results.  As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again.  Sekaiichi Hatsukoi follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love.   [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/29763l.jpg,Anime,7.6,"Apr 9, 2011 to Jun 25, 2011"
Code-E,"Chinami Ebihara is girl with a strange ability to generate electromagnetic waves when her emotions run high. However, since this ""ability"" affects anything electrical, it resulted in her having to transfer from school to school when she was younger. As Chinami, now 18 years of age, transfers to a new school, she once again affects the electronic devices in the school, but this time, when another student, Kotaro Kannagi, sees her do this, he becomes obsessed in studying her ""TYPE-E"" ability.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/10/57435l.jpg,Anime,6.39,"Jul 4, 2007 to Sep 19, 2007"
Junjo Romantica,"High school student Misaki Takahashi returns home to see his older brother being fondled by an unknown man. Bewildered by such a sight, Misaki finds out that the stranger is actually Akihiko Usami, a popular novelist and his brother's best friend. With the two of them slowly becoming acquainted, Akihiko ends up as Misaki's private tutor. However, after stumbling upon the author's latest boys-love novel, Misaki becomes uncertain whether or not to trust Akihiko regarding his friendship with the student's brother.  Elsewhere, Hiroki Kamijou, a university teacher of classical literature and Akihiko's friend, is grieving a failed romance. While on the edge of a mental breakdown, he meets student Nowaki Kusama, who wants his help for an upcoming exam. Despite denying Nowaki's request numerous times, Hiroki eventually lends him a hand. As the two get closer, more revelations about the student are made.  Furthermore, when wealthy teenager Shinobu Takatsuki finds out that his older sister has divorced Hiroki's coworker You Miyagi, he immediately wants to date the same man—as he saved Shinobu from a robbery three years prior. Even so, You does not feel the same way and attempts to scare him off. However, the educator soon realizes that Shinobu will do anything for their destined romance.  Junjou Romantica collects three love stories, narrating every couple's romance.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/8811l.jpg,Anime,7.44,"Apr 11, 2008 to Jun 27, 2008"
La corda d&#039;oro: primo passo,"Seiso Academy is a prestigious high school that sorts students into two majors: General Studies, characterized by distinct grey uniforms, and Music Studies, characterized by pristine white uniforms. While rushing to class one morning, General Studies student Kahoko Hino has a chance encounter with Lili, a small fairy searching for someone with the ability to see her. Lili flies away, and Kahoko, puzzled by their meeting, continues on her way.  Later that day, the participants of a school-wide music competition are announced, and all of them are, unsurprisingly, Music Studies students—at least until Kahoko's name is read out. Immediately tracking down Lili, the small fairy gifts Kahoko a magical violin and convinces her to participate in the competition.  Kiniro no Corda: Primo Passo follows Kahoko's endeavors alongside Lili, as the young student must now face the challenges of competition and go head-to-head against her competitors while navigating a new world of classical music.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1565/153275l.jpg,Anime,7.4,"Oct 2, 2006 to Mar 26, 2007"
D.Gray-man HALLOW,"D.Gray-man Hallow is based on Katsura Hoshino&#039;s manga series of the same title and adapts chapters 165 to 208 from the 17th to 23rd volumes. The anime was not released on Blu-ray or DVD. The first volumes were scheduled to start release in September 2016, but were indefinitely delayed to improve their quality. The release was later cancelled in March 2017.",https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg,Anime,7.92,"Jul 5, 2016 to Sep 27, 2016"
Sengoku☆Paradise Kiwami,"Based on the online mobile phone otome game ""Sengoku☆Paradise"".  The first 3 minutes of the 10 minute spot for Sengoku☆Paradise Kiwami is the anime. The rest of the 7 minutes is of Sengoku☆Paradise Kiwami cast members Daisuke Namikawa and others (first time with Tetsuya Kakihara, second time with Rei Mochizuki) going on missions, plus an informative short.",https://cdn.myanimelist.net/images/anime/11/39031l.jpg,Anime,5.99,"Oct 4, 2011 to Mar 27, 2012"
Peace Maker Kurogane Movie 1: Omou Michi,"Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge leads him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind, and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group.",https://cdn.myanimelist.net/images/anime/1379/91338l.jpg,Anime,6.64,"Jun 2, 2018"
Boku wa Kuma,"A stop motion animation produced by NHK. A colorful children's music video about a clumsy bear, what he is—and is not—and what he likes and dislikes.",https://cdn.myanimelist.net/images/anime/3/18043l.jpg,Anime,5.61,"Oct 2, 2006"
Ane Koi: Suki Kirai Daisuki.,"Yoshiharu Hayami has always been in love with his older sister Sana. However, his sister decides to leave their house for certain reasons, leaving Yoshiharu worried that his feelings for her might go unnoticed. Unwilling to let go of her, he musters up his courage to confess, as well as taking something very important to her...  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1481/103805l.jpg,Anime,6.91,"Feb 15, 2013 to May 17, 2013"
Parasol Henbei,"All children dream to have a friend straight from a fairy tale... A little boy opens his closet and finds a strange creature with a parasol sitting in there. Nobody knows how he got there and from what mysterious worlds he is, but it is a fast friendship from the beginning. And nobody can ever know...   (Source: ANN)",https://cdn.myanimelist.net/images/anime/6/44704l.jpg,Anime,6.3,"Oct 2, 1989 to Jan 28, 1991"
